Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link
"(''GodMode' access is still a problem at Twitter, another whistleblower alleges', 'the washington post', '2023-01-24')",Social Media Platform->Regular Group,Social Media Platform,Regular Group,Scaled Abuse_Hacking,Whistleblow,Twitter,https://www.washingtonpost.com/politics/2023/01/24/godmode-access-is-still-problem-twitter-another-whistleblower-alleges/
"('‘I can’t be that careless’: Australian Uyghur activist targeted online', 'the guardian', '2021-05-15')",Regular Group->Regular Individual,Regular Group,Regular Individual,Scaled Abuse_Malware,Protective Measures,Facebook,https://www.theguardian.com/world/2021/may/16/i-cant-be-that-careless-australian-uyghur-activist-targeted-online
"(''Our pain for their gain': the American activists manipulated by Russian trolls', 'the guardian', '2017-10-21')",Influential Group->Regular Group,Influential Group,Regular Group,Scaled Abuse_Inauthentic Behavior,Misinformation leg to action,Facebook,https://www.theguardian.com/world/2017/oct/21/russia-social-media-activism-blacktivist
"('‘Troll factory’ spreading Russian pro-war lies online, says UK', 'the guardian', '2022-05-03')",Regular Group->Regular Group,Regular Group,Regular Group,Scaled Abuse_Inauthentic Behavior,,Twitter,https://www.theguardian.com/world/2022/may/01/troll-factory-spreading-russian-pro-war-lies-online-says-uk
"('An army of fake Twitter accounts invades Ireland. What is their purpose?', 'irish times', '2017-10-28')",Regular Group->Regular Individual,Regular Group,Regular Individual,Scaled Abuse_Inauthentic Behavior,Protective Measures,Twitter,https://www.irishtimes.com/culture/tv-radio-web/an-army-of-fake-twitter-accounts-invades-ireland-why-1.3271340
"('Baijal's Twitter account hacked', 'the times of india', '2018-02-28')",Regular Individual->Influential Individual,Regular Individual,Influential Individual,Scaled Abuse_Hacking,,Twitter,https://economictimes.indiatimes.com/news/politics-and-nation/delhi-lg-anil-baijals-twitter-handle-hacked-official/articleshow/63101502.cms?from=mdr
"('Be wary of buying Facebook 'friends'', 'the washington post', '2012-03-05')",Social Media Platform->Influential Individual,Social Media Platform,Influential Individual,Scaled Abuse_Inauthentic Behavior,,Facebook,https://www.washingtonpost.com/business/on-small-business/buying-facebook-friends-should-you-do-it/2012/02/23/gIQA1cJtgR_story.html
"('Bots of the Internet, Reveal Yourselves!', 'new york times', '2018-07-16')",Regular Group->Social Media Platform,Regular Group,Social Media Platform,Scaled Abuse_Inauthentic Behavior,"Protective Measures, Legal Action",Twitter,https://www.nytimes.com/2018/07/16/style/how-to-regulate-bots.html
"('Can Social Media Alter a War? A 2019 experiment exploited Facebook and Instagram to manipulate soldiers.', 'wall street journal', '2022-01-02')",Regular Group->Regular Group,Regular Group,Regular Group,Scaled Abuse_Inauthentic Behavior,Manipulate Behavior,"Facebook, Instagram",https://www.wsj.com/opinion/can-social-media-alter-a-war-nato-russian-bots-colonial-pipeline-national-security-ukraine-cyberwarfare-hack-invasion-11641130267
"('China Extends Military Exercises as Taiwan Battles Cyberattacks; University websites and 7-Eleven stores have been affected, in some cases to hurl insults at U.S. House Speaker Nancy Pelosi', 'wall street journal', '2022-08-08')",Influential Individual->Influential Individual,Influential Individual,Influential Individual,Scaled Abuse_Hacking,,Online,https://www.wsj.com/world/china/china-extends-military-exercises-as-taiwan-battles-cyberattacks-11659969484
